2023-09-28 11:47:12.258 [main] INFO  o.a.c.c.C.[.[.[/dockitservice] - Initializing Spring embedded WebApplicationContext
2023-09-28 11:47:12.259 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2475 ms
2023-09-28 11:47:12.810 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-09-28 11:47:12.881 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.1.7.Final
2023-09-28 11:47:13.347 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-09-28 11:47:13.549 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@256a5df0
2023-09-28 11:47:13.552 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-09-28 11:47:13.601 [main] INFO  SQL dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2023-09-28 11:47:14.913 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-09-28 11:47:14.933 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-09-28 11:47:15.293 [main] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: com.docuitservice.repository.UserRepository
2023-09-28 11:47:16.421 [main] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: com.docuitservice.repository.CategoryRepository
2023-09-28 11:47:16.634 [main] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: com.docuitservice.repository.DocumentRepository
2023-09-28 11:47:16.742 [main] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: com.docuitservice.repository.MemberRepository
2023-09-28 11:47:16.835 [main] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: com.docuitservice.repository.ShareRepository
2023-09-28 11:47:16.915 [main] WARN  o.s.c.LocalVariableTableParameterNameDiscoverer - Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: com.docuitservice.repository.FamilyRepository
2023-09-28 11:47:17.993 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2023-09-28 11:47:18.087 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@574985d8, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@42ff6af7, org.springframework.security.web.context.SecurityContextHolderFilter@27cfc534, org.springframework.security.web.header.HeaderWriterFilter@383cf604, org.springframework.web.filter.CorsFilter@11514c77, org.springframework.security.web.authentication.logout.LogoutFilter@5979d0a5, com.docuitservice.security.config.JwtAuthFilter@47d0127f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@14e9458a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@671ba0dc, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2a93ad09, org.springframework.security.web.session.SessionManagementFilter@2b465287, org.springframework.security.web.access.ExceptionTranslationFilter@308f13dc, org.springframework.security.web.access.intercept.AuthorizationFilter@b13c600]
2023-09-28 11:47:18.490 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-09-28 11:47:19.185 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path '/dockitservice'
2023-09-28 11:47:19.228 [main] INFO  c.d.DocuItServiceApplication - Started DocuItServiceApplication in 10.334 seconds (process running for 11.83)
2023-09-28 11:47:24.187 [http-nio-8081-exec-2] INFO  o.a.c.c.C.[.[.[/dockitservice] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-09-28 11:47:24.187 [http-nio-8081-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-09-28 11:47:24.190 [http-nio-8081-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
